                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.0041,                0.73721,                 1.1743,                0.93067,                0.90435,                 0.9575,                0.73302,                0.89472,                0.50531,                 1.1827,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.0032,                0.73585,                 1.1747,                0.92401,                0.90871,                0.95771,                0.73409,                0.89359,                0.50281,                 1.1813,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.0052,                 0.7317,                 1.1683,                0.92422,                0.90493,                0.95752,                0.73494,                0.89124,                0.50212,                 1.1791,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.0032,                0.73678,                 1.1701,                0.91737,                  0.912,                0.95868,                0.73504,                 0.8931,                0.50051,                 1.1807,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.0055,                0.73197,                 1.1694,                0.91668,                0.91667,                0.95927,                 0.7369,                0.89402,                0.49724,                  1.183,               0.008515,               0.008515,               0.008515
                     77,                  1.003,                0.72861,                 1.1692,                0.91877,                0.91558,                0.95974,                0.73705,                 0.8921,                0.49323,                 1.1844,              0.0084952,              0.0084952,              0.0084952
                     78,                0.99271,                0.73132,                  1.166,                0.92161,                0.91162,                0.96045,                0.73701,                0.89009,                0.48994,                 1.1828,              0.0084754,              0.0084754,              0.0084754
                     79,                 0.9922,                0.72748,                 1.1669,                 0.9252,                0.91072,                0.96073,                0.73875,                0.88787,                 0.4891,                 1.1799,              0.0084556,              0.0084556,              0.0084556
                     80,                 0.9922,                 0.7176,                 1.1614,                0.91941,                0.91816,                0.96146,                0.73953,                 0.8856,                0.48535,                 1.1786,              0.0084358,              0.0084358,              0.0084358
                     81,                0.98352,                0.71527,                 1.1613,                0.92075,                0.92035,                0.96158,                0.74085,                0.88037,                0.48295,                 1.1731,               0.008416,               0.008416,               0.008416
